order,section,capability,method,status,sources,last_reviewed,notes
"1","Lattices over $\mathbf{Z}$","Lattice construction from standard models","constructor(""U"")","done","sage/modules/free_quadratic_module_integer_symmetric.py::IntegralLattice (data==\"U\" or \"H\"), sage_doc/test_integrallattice_static.py::test_integrallattice_constructor_u_hyperbolic_plane","2026-02-15","re-verified against implementation branch"
"2","Lattices over $\mathbf{Z}$","Lattice construction from standard models","integer_lattice","done","julia_doc/test_zzlat_construction.jl::\""integer_lattice: construct from Gram matrix\"", julia_doc/test_zzlat_construction.jl::\""integer_lattice: construct from basis and Gram\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_integer_lattice","2026-02-15","re-verified from doc tests: gram_matrix(L)=G and rank(L)=rows(G)"
"3","Lattices over $\mathbf{Z}$","Lattice construction from standard models","lattice","done","julia_doc/test_zzlat_construction.jl::\""lattice: construct in quadratic space\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_lattice","2026-02-15","re-verified from doc tests for lattice(V,B) contract in ambient quadratic space"
"4","Lattices over $\mathbf{Z}$","Lattice construction from standard models","quadratic_lattice","done","julia_doc/test_zzlat_construction.jl::\""quadratic_lattice: construct from generators and Gram\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_quadratic_lattice","2026-02-15","re-verified from doc tests: rank(L)=2 and det(L)=4 in QQ example"
"5","Lattices over $\mathbf{Z}$","Lattice construction from standard models","root_lattice","done","sage/combinat/root_system/root_system.py::root_lattice, sage_doc/test_rootsystem_static.py::test_rootsystem_cartan_type_rank_matches_lattice_dimension","2026-02-15","re-verified: implementation is exactly root_space(ZZ)"
"6","Lattices over $\mathbf{Z}$","Lattice construction from standard models","hyperbolic_plane_lattice","done","docs/julia/oscar_jl/lattice/julia_lattice_methods_reference.md::2.3, julia_doc/test_zzlat_construction.jl::\""hyperbolic_plane_lattice: signature (1,1)\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_hyperbolic_plane_lattice","2026-02-15","re-verified from docs/tests: unscaled invariants signature (1,1,0), det=-1"
"7","Lattices over $\mathbf{Z}$","Lattice construction from standard models","lattice_in_same_ambient_space","done","docs/julia/oscar_jl/lattice/julia_lattice_methods_reference.md::2.9, julia_doc/test_zzlat_module_ops.jl::\""lattice_in_same_ambient_space: sublattice construction\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_lattice_in_same_ambient_space","2026-02-15","re-verified from docs/tests: row-span sublattice in unchanged ambient space"
"8","Lattices over $\mathbf{Z}$","Lattice substructure relations","maximal_integral_lattice","done","docs/julia/oscar_jl/lattice/julia_lattice_methods_reference.md::2.9, julia_doc/test_zzlat_module_ops.jl::\""maximal_integral_lattice: maximal overlattice\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_maximal_integral_lattice","2026-02-15","recategorized: maximal overlattice operation, not a standard-model constructor"
"9","Matrix algorithms","Matrix rank and shape invariants","rank","done","sage/matrix/matrix0.pyx::rank, sage_doc/test_matrix_methods_static.py::test_matrix_rank_full_for_positive_definite_example","2026-02-15","recategorized: matrix rank method, not lattice-construction capability"
"10","Lattices over $\mathbf{Z}$","Lattice/space rank and dimension","dimension","done","sage/quadratic_forms/genera/genus.py::GenusSymbol_global_ring.dimension, sage_doc/test_genus_static.py::test_genus_dimension_matches_representative_size","2026-02-15","re-verified implementation: dimension = p+n from signature_pair()"
